favorite_count,retweet_count,tweet_id
10512,1899,834458053273591808
22594,5476,834209720923721728
17194,4130,834167344700198914
10971,2427,834089966724603904
14296,2512,834086379323871233
14661,2729,833863086058651648
16728,3904,833826103416520705
0,251,833732339549220864
22585,3636,833722901757046785
16258,2357,833479644947025920
22133,5513,833124694597443584
14549,2522,832998151111966721
0,43,832769181346996225
18423,4127,832757312314028032
13017,3368,832682457690300417
3195,594,832645525019123713
17379,3220,832636094638288896
13126,2548,832397543355072512
18792,3652,832369877331693569
12385,2673,832273440279240704
0,7069,832215909146226688
0,10723,832215726631055365
72,3,832088576586297345
0,11131,832040443403784192
13887,4746,832032802820481025
26404,7031,831939777352105988
369,39,831926988323639298
30380,7458,831911600680497154
11469,2059,831670449226514432
7908,2243,831650051525054464
9872,2632,831552930092285952
10042,1744,831322785565769729
7117,1264,831315979191906304
12819,2786,831309418084069378
13066,2350,831262627380748289
8735,1735,830956169170665475
73397,19297,830583320585068544
0,6554,830173239259324417
10804,3455,830097400375152640
0,5757,829878982036299777
13441,2243,829861396166877184
34913,12224,829501995190984704
11519,2329,829449946868879360
38074,10706,829374341691346946
26952,8530,829141528400556032
58302,18627,829011960981237760
0,3901,828801551087042563
28085,6746,828770345708580865
40241,12882,828708714936930305
10467,1544,828650029636317184
6898,1305,828409743546925057
8398,1477,828408677031882754
13864,2554,828381636999917570
8112,1216,828376505180889089
13756,3344,828372645993398273
2408,195,828361771580813312
12923,3260,828046555563323392
11411,2451,828011680017821696
22180,5987,827933404142436356
16983,3433,827653905312006145
8143,1082,827600520311402496
17523,3510,827324948884643840
0,13517,827228250799742977
11659,2579,827199976799354881
23767,5757,826958653328592898
40325,11878,826848821049180160
0,4521,826615380357632002
5637,292,826598799820865537
11117,2709,826598365270007810
20275,4821,826476773533745153
14614,2965,826240494070030336
5361,1075,826204788643753985
17299,3599,826115272272650244
11525,2146,825876512159186944
14025,2848,825829644528148480
56413,19669,825535076884762624
20181,5244,825147591692263424
0,1483,825120256414846976
7020,1483,825026590719483904
0,6288,824796380199809024
16508,4069,824775126675836928
11113,1993,824663926340194305
12999,11848,824325613288833024
16625,4463,824297048279236611
5255,679,824025158776213504
11755,3123,823939628516474880
0,12953,823719002937630720
13826,2772,823699002998870016
14376,3031,823581115634085888
777,31,823333489516937216
17437,4637,823322678127919110
0,11421,823269594223824897
19139,3958,822975315408461824
132810,48265,822872901745569793
14576,2622,822859134160621569
0,7390,822647212903690241
16327,3423,822610361945911296
20083,7390,822489057087389700
31800,17209,822462944365645825
38832,11421,822244816520155136
0,5571,822163064745328640
12582,2692,821886076407029760
0,3839,821813639212650496
9317,1899,821765923262631936
8871,2030,821522889702862852
0,6470,821421320206483457
13075,5053,821407182352777218
280,10,821153421864615936
9718,2320,821149554670182400
10645,2487,821107785811234820
14021,2636,821044531881721856
0,7733,820837357901512704
34984,11525,820749716845686786
13518,3716,820690176645140481
0,648,820494788566847489
0,2980,820446719150292993
3706,648,820314633777061888
21979,7246,820078625395449857
0,1369,820013781606658049
5927,1369,819952236453363712
14305,5607,819924195358416896
14916,3604,819711362133872643
10606,2271,819588359383371776
8008,1383,819347104292290561
2550,462,819238181065359361
25652,7733,819227688460238848
0,42228,819015337530290176
0,21794,819015331746349057
49960,21794,819006400881917954
95450,42228,819004803107983360
0,24069,818646164899774465
24597,8564,818627210458333184
10971,2982,818614493328580609
0,7126,818588835076603904
12127,2873,818536468981415936
0,9366,818307523543449600
12197,2621,818259473185828864
13671,3014,818145370475810820
5356,906,817908911860748288
57622,31314,817827839487737858
11901,3084,817777686764523521
13105,3505,817536400337801217
0,3917,817502432452313088
38260,17504,817423860136083457
6267,1131,817415592588222464
0,9907,817181837579653120
9690,2326,817171292965273600
13367,3011,817120970343411712
9517,1927,817056546584727552
0,5496,816829038950027264
11071,2361,816816676327063552
10905,2545,816697700272001025
33961,9366,816450570814898180
9564,2269,816336735214911488
9927,2500,816091915477250048
0,1207,816062466425819140
0,6154,816014286006976512
5545,1207,815990720817401858
25057,9907,815966073409433600
0,4797,815745968457060357
10937,2625,815736392542261248
9161,1918,815639385530101762
11467,4407,815390420867969024
8485,1505,814986499976527872
12511,3130,814638523311648768
0,6750,814578408554463233
9629,2156,814530161257443328
32000,10080,814153002265309185
0,3732,813944609378369540
10342,2194,813910438903693312
40402,16267,813812741911748608
9300,2060,813800681631023104
20783,8476,813217897535406080
10192,2090,813202720496779264
22085,5096,813187593374461952
10384,2236,813172488309972993
8588,2557,813157409116065792
9361,2728,813142292504645637
4968,513,813130366689148928
13242,3652,813127251579564032
11515,3225,813112105746448384
11694,4207,813096984823349248
10989,3220,813081950185472002
8865,2276,813066809284972545
23337,8503,813051746834595840
8380,2191,812781120811126785
0,8067,812747805718642688
7373,1665,812709060537683968
6787,1424,812503143955202048
